Ticket_ID,Subject,Description,Category,text
208,new feature idea,An offline mode where I can browse my saved items and drafts without internet would be very useful when I'm travelling.,Feature Request,new feature idea an offline mode where i can browse my saved items and drafts without internet would be very useful when i'm travelling.
209,improvement idea,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,improvement idea a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
210,please add this,Please consider adding a wishlist feature that I can share with family for gifting occasions. Many customers would find this useful.,Feature Request,please add this please consider adding a wishlist feature that i can share with family for gifting occasions. many customers would find this useful.
211,refund request,I see a charge labelled 'PRO_UPGRADE' on my statement but I never upgraded my plan. Please investigate this unauthorized charge.,Billing Inquiry,refund request i see a charge labelled 'pro_upgrade' on my statement but i never upgraded my plan. please investigate this unauthorized charge.
212,payment problem,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,payment problem my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
213,feature broken,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,feature broken on my tablet the layout is completely broken — all the navigation buttons are overlapping each other. works fine on my phone and desktop.
214,enhancement request,It would be helpful to have a 'Reorder' button on past orders so I can quickly repurchase the same items without searching again.,Feature Request,enhancement request it would be helpful to have a 'reorder' button on past orders so i can quickly repurchase the same items without searching again.
215,WhatsApp notification option,Please add WhatsApp as a notification channel in addition to email and SMS. Most of my team prefers WhatsApp and it has better delivery rates.,Feature Request,whatsapp notification option please add whatsapp as a notification channel in addition to email and sms. most of my team prefers whatsapp and it has better delivery rates.
216,Charged twice for subscription,I was billed twice this month for my subscription plan. My bank statement shows two identical charges of ₹499 on the same date. Please refund the duplicate payment.,Billing Inquiry,charged twice for subscription i was billed twice this month for my subscription plan. my bank statement shows two identical charges of ₹499 on the same date. please refund the duplicate payment.
217,feature broken,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,feature broken i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
218,something is broken,The 'Notify Me' button on out-of-stock products doesn't seem to work. I signed up for notifications for 3 products weeks ago and got none.,Bug Report,something is broken the 'notify me' button on out-of-stock products doesn't seem to work. i signed up for notifications for 3 products weeks ago and got none.
219,password issue,I'd like to add a family member to my account so they can also place orders. Is there a family plan or a way to add sub-users?,Account Management,password issue i'd like to add a family member to my account so they can also place orders. is there a family plan or a way to add sub-users?
220,Wrong amount deducted,The amount deducted from my account was ₹899 but my plan costs ₹499. I have attached my bank screenshot. Please look into this urgently.,Billing Inquiry,wrong amount deducted the amount deducted from my account was ₹899 but my plan costs ₹499. i have attached my bank screenshot. please look into this urgently.
221,feature broken,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,feature broken i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
222,profile update,I need to transfer my account to a new email address as I no longer have access to the old one. I can verify my identity with my phone number.,Account Management,profile update i need to transfer my account to a new email address as i no longer have access to the old one. i can verify my identity with my phone number.
223,please add this,Please consider adding a wishlist feature that I can share with family for gifting occasions. Many customers would find this useful.,Feature Request,please add this please consider adding a wishlist feature that i can share with family for gifting occasions. many customers would find this useful.
224,enhancement request,Could you add the ability to set a monthly spending limit on the account? It would help with budgeting especially for shared team accounts.,Feature Request,enhancement request could you add the ability to set a monthly spending limit on the account? it would help with budgeting especially for shared team accounts.
225,password issue,My display name is showing garbled characters after I tried to use my name in a regional language. Please help me fix this.,Account Management,password issue my display name is showing garbled characters after i tried to use my name in a regional language. please help me fix this.
226,error on page,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,error on page on my tablet the layout is completely broken — all the navigation buttons are overlapping each other. works fine on my phone and desktop.
227,Annual billing switched to monthly,My account was on annual billing but it looks like it got switched to monthly. My bill is now higher. I didn't make this change.,Billing Inquiry,annual billing switched to monthly my account was on annual billing but it looks like it got switched to monthly. my bill is now higher. i didn't make this change.
228,Login page not loading,I can't access the login page on Chrome. It just shows a blank white screen. I've tried clearing cache and using incognito mode — same issue.,Technical Issue,login page not loading i can't access the login page on chrome. it just shows a blank white screen. i've tried clearing cache and using incognito mode — same issue.
229,glitch in app,When printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.,Bug Report,glitch in app when printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.
230,please add this,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,please add this a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
231,billing issue,My refund request was approved 2 weeks ago (ref #REF-2291) but the amount hasn't appeared in my account yet. Please update me.,Billing Inquiry,billing issue my refund request was approved 2 weeks ago (ref #ref-2291) but the amount hasn't appeared in my account yet. please update me.
232,profile update,I'd like to add a family member to my account so they can also place orders. Is there a family plan or a way to add sub-users?,Account Management,profile update i'd like to add a family member to my account so they can also place orders. is there a family plan or a way to add sub-users?
233,unexpected behavior,When printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.,Bug Report,unexpected behavior when printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.
234,reporting a bug,The 'Notify Me' button on out-of-stock products doesn't seem to work. I signed up for notifications for 3 products weeks ago and got none.,Bug Report,reporting a bug the 'notify me' button on out-of-stock products doesn't seem to work. i signed up for notifications for 3 products weeks ago and got none.
235,something is broken,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,something is broken product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
236,subscription charge,I need a GST-compliant invoice for my subscription payment made on 12th March. The invoice I received doesn't have the GST breakdown.,Billing Inquiry,subscription charge i need a gst-compliant invoice for my subscription payment made on 12th march. the invoice i received doesn't have the gst breakdown.
237,payment problem,I see a charge labelled 'PRO_UPGRADE' on my statement but I never upgraded my plan. Please investigate this unauthorized charge.,Billing Inquiry,payment problem i see a charge labelled 'pro_upgrade' on my statement but i never upgraded my plan. please investigate this unauthorized charge.
238,enhancement request,Could you add the ability to set a monthly spending limit on the account? It would help with budgeting especially for shared team accounts.,Feature Request,enhancement request could you add the ability to set a monthly spending limit on the account? it would help with budgeting especially for shared team accounts.
239,payment problem,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,payment problem my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
240,cannot load,Video tutorials in the help section don't play. The player shows an error icon. This is happening on both Chrome and Edge on Windows 11.,Technical Issue,cannot load video tutorials in the help section don't play. the player shows an error icon. this is happening on both chrome and edge on windows 11.
241,glitch in app,The 'Apply Coupon' button on mobile disappears behind the keyboard when I type the coupon code. I have to close the keyboard to tap it.,Bug Report,glitch in app the 'apply coupon' button on mobile disappears behind the keyboard when i type the coupon code. i have to close the keyboard to tap it.
242,new feature idea,An offline mode where I can browse my saved items and drafts without internet would be very useful when I'm travelling.,Feature Request,new feature idea an offline mode where i can browse my saved items and drafts without internet would be very useful when i'm travelling.
243,WhatsApp notification option,Please add WhatsApp as a notification channel in addition to email and SMS. Most of my team prefers WhatsApp and it has better delivery rates.,Feature Request,whatsapp notification option please add whatsapp as a notification channel in addition to email and sms. most of my team prefers whatsapp and it has better delivery rates.
244,account issue,My display name is showing garbled characters after I tried to use my name in a regional language. Please help me fix this.,Account Management,account issue my display name is showing garbled characters after i tried to use my name in a regional language. please help me fix this.
245,payment problem,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,payment problem my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
246,feature broken,Video tutorials in the help section don't play. The player shows an error icon. This is happening on both Chrome and Edge on Windows 11.,Technical Issue,feature broken video tutorials in the help section don't play. the player shows an error icon. this is happening on both chrome and edge on windows 11.
247,subscription charge,My refund request was approved 2 weeks ago (ref #REF-2291) but the amount hasn't appeared in my account yet. Please update me.,Billing Inquiry,subscription charge my refund request was approved 2 weeks ago (ref #ref-2291) but the amount hasn't appeared in my account yet. please update me.
248,glitch in app,The 'Recently Viewed' section shows products I have never visited. It seems to be showing someone else's browsing history.,Bug Report,glitch in app the 'recently viewed' section shows products i have never visited. it seems to be showing someone else's browsing history.
249,please add this,Could you add the ability to set a monthly spending limit on the account? It would help with budgeting especially for shared team accounts.,Feature Request,please add this could you add the ability to set a monthly spending limit on the account? it would help with budgeting especially for shared team accounts.
250,cannot load,The app keeps logging me out every few minutes even though I have 'Keep me logged in' enabled. This started after last Thursday's update.,Technical Issue,cannot load the app keeps logging me out every few minutes even though i have 'keep me logged in' enabled. this started after last thursday's update.
251,Dark mode not saving preference,I switch to dark mode but every time I reopen the app it resets to light mode. The preference is not being saved.,Technical Issue,dark mode not saving preference i switch to dark mode but every time i reopen the app it resets to light mode. the preference is not being saved.
252,account access,I'd like to add a family member to my account so they can also place orders. Is there a family plan or a way to add sub-users?,Account Management,account access i'd like to add a family member to my account so they can also place orders. is there a family plan or a way to add sub-users?
253,reporting a bug,The 'Apply Coupon' button on mobile disappears behind the keyboard when I type the coupon code. I have to close the keyboard to tap it.,Bug Report,reporting a bug the 'apply coupon' button on mobile disappears behind the keyboard when i type the coupon code. i have to close the keyboard to tap it.
254,invoice error,My refund request was approved 2 weeks ago (ref #REF-2291) but the amount hasn't appeared in my account yet. Please update me.,Billing Inquiry,invoice error my refund request was approved 2 weeks ago (ref #ref-2291) but the amount hasn't appeared in my account yet. please update me.
255,error on page,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,error on page on my tablet the layout is completely broken — all the navigation buttons are overlapping each other. works fine on my phone and desktop.
256,Email address change not working,"I'm trying to update my registered email address but after I click the confirmation link in the new email, it says 'link expired'. I've tried this twice.",Account Management,"email address change not working i'm trying to update my registered email address but after i click the confirmation link in the new email, it says 'link expired'. i've tried this twice."
257,Two accounts on same phone number,"I got an error saying my phone number is already registered, but I've never used this service before. Someone may have used my number fraudulently.",Account Management,"two accounts on same phone number i got an error saying my phone number is already registered, but i've never used this service before. someone may have used my number fraudulently."
258,charged for feature I wanted free,I got a charge for a feature that the website says is free on my plan. Either the billing is wrong or the plan description on your site is misleading.,Billing Inquiry,charged for feature i wanted free i got a charge for a feature that the website says is free on my plan. either the billing is wrong or the plan description on your site is misleading.
259,please add this,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,please add this a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
260,reporting a bug,The 'Apply Coupon' button on mobile disappears behind the keyboard when I type the coupon code. I have to close the keyboard to tap it.,Bug Report,reporting a bug the 'apply coupon' button on mobile disappears behind the keyboard when i type the coupon code. i have to close the keyboard to tap it.
261,billing issue,I need a GST-compliant invoice for my subscription payment made on 12th March. The invoice I received doesn't have the GST breakdown.,Billing Inquiry,billing issue i need a gst-compliant invoice for my subscription payment made on 12th march. the invoice i received doesn't have the gst breakdown.
262,password issue,My display name is showing garbled characters after I tried to use my name in a regional language. Please help me fix this.,Account Management,password issue my display name is showing garbled characters after i tried to use my name in a regional language. please help me fix this.
263,app crashed while placing order,The app crashed right when I hit the 'Place Order' button. I don't know if the order went through but my card was charged. Please check.,Bug Report,app crashed while placing order the app crashed right when i hit the 'place order' button. i don't know if the order went through but my card was charged. please check.
264,feature broken,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,feature broken on my tablet the layout is completely broken — all the navigation buttons are overlapping each other. works fine on my phone and desktop.
265,Annual billing switched to monthly,My account was on annual billing but it looks like it got switched to monthly. My bill is now higher. I didn't make this change.,Billing Inquiry,annual billing switched to monthly my account was on annual billing but it looks like it got switched to monthly. my bill is now higher. i didn't make this change.
266,login problem,My account shows that I haven't made any purchases but I've made 5 orders in the last month. They're all missing from my order history.,Account Management,login problem my account shows that i haven't made any purchases but i've made 5 orders in the last month. they're all missing from my order history.
267,billing issue,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,billing issue my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
268,Duplicate orders being created,I placed one order but received two order confirmation emails with different order numbers. Please cancel the duplicate before it ships.,Bug Report,duplicate orders being created i placed one order but received two order confirmation emails with different order numbers. please cancel the duplicate before it ships.
269,new feature idea,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,new feature idea a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
270,password issue,My account shows that I haven't made any purchases but I've made 5 orders in the last month. They're all missing from my order history.,Account Management,password issue my account shows that i haven't made any purchases but i've made 5 orders in the last month. they're all missing from my order history.
271,Payment failed but money deducted,My payment failed during checkout but the amount was still deducted from my account. The order was never placed. Transaction ID: TXN884321.,Billing Inquiry,payment failed but money deducted my payment failed during checkout but the amount was still deducted from my account. the order was never placed. transaction id: txn884321.
272,cannot load,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,cannot load on my tablet the layout is completely broken — all the navigation buttons are overlapping each other. works fine on my phone and desktop.
273,technical problem,The search filters on the product listing page are not responding. I click 'Apply Filters' and the page just reloads with all products unfiltered.,Technical Issue,technical problem the search filters on the product listing page are not responding. i click 'apply filters' and the page just reloads with all products unfiltered.
274,Can't reset password,I requested a password reset but the reset email never arrived. I've checked spam. My account has important data and I urgently need access.,Account Management,can't reset password i requested a password reset but the reset email never arrived. i've checked spam. my account has important data and i urgently need access.
275,App crashes on startup,"The mobile app crashes immediately after I open it. This started happening after the latest update (v3.2.1). I'm on Android 13, Samsung Galaxy S21.",Technical Issue,"app crashes on startup the mobile app crashes immediately after i open it. this started happening after the latest update (v3.2.1). i'm on android 13, samsung galaxy s21."
276,How to get a refund,I want to return a product I bought last week. The quality is not as described. What is the refund process and how long does it take?,Billing Inquiry,how to get a refund i want to return a product i bought last week. the quality is not as described. what is the refund process and how long does it take?
277,reporting a bug,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,reporting a bug product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
278,something is broken,When printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.,Bug Report,something is broken when printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.
279,error on page,On my tablet the layout is completely broken — all the navigation buttons are overlapping each other. Works fine on my phone and desktop.,Technical Issue,error on page on my tablet the layout is completely broken — all the navigation buttons are overlapping each other. works fine on my phone and desktop.
280,something is broken,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,something is broken product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
281,Sorting feature reversed,"When I sort products by 'Price: Low to High', the most expensive items appear first. The sort order seems to be reversed.",Bug Report,"sorting feature reversed when i sort products by 'price: low to high', the most expensive items appear first. the sort order seems to be reversed."
282,profile update,My display name is showing garbled characters after I tried to use my name in a regional language. Please help me fix this.,Account Management,profile update my display name is showing garbled characters after i tried to use my name in a regional language. please help me fix this.
283,new feature idea,Could you add the ability to set a monthly spending limit on the account? It would help with budgeting especially for shared team accounts.,Feature Request,new feature idea could you add the ability to set a monthly spending limit on the account? it would help with budgeting especially for shared team accounts.
284,feature broken,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,feature broken i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
285,app not working,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,app not working i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
286,Filters resetting on back navigation,"When I apply filters on the search page and click a product then hit the back button, all my filters are reset. Very annoying.",Bug Report,"filters resetting on back navigation when i apply filters on the search page and click a product then hit the back button, all my filters are reset. very annoying."
287,improvement idea,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,improvement idea a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
288,Share button not working,The 'Share' button on product pages does nothing when tapped on iOS. I'm on iPhone 14 with the latest iOS version.,Bug Report,share button not working the 'share' button on product pages does nothing when tapped on ios. i'm on iphone 14 with the latest ios version.
289,Cashback not credited,I was supposed to receive ₹200 cashback after my first purchase but it's been 2 weeks and nothing has shown up in my wallet.,Billing Inquiry,cashback not credited i was supposed to receive ₹200 cashback after my first purchase but it's been 2 weeks and nothing has shown up in my wallet.
290,refund request,My refund request was approved 2 weeks ago (ref #REF-2291) but the amount hasn't appeared in my account yet. Please update me.,Billing Inquiry,refund request my refund request was approved 2 weeks ago (ref #ref-2291) but the amount hasn't appeared in my account yet. please update me.
291,refund request,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,refund request my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
292,cannot load,The search filters on the product listing page are not responding. I click 'Apply Filters' and the page just reloads with all products unfiltered.,Technical Issue,cannot load the search filters on the product listing page are not responding. i click 'apply filters' and the page just reloads with all products unfiltered.
293,unexpected behavior,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,unexpected behavior product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
294,Account locked after wrong attempts,My account got locked after I entered the wrong password three times. I've been waiting 30 minutes but it's still locked. How do I unlock it?,Account Management,account locked after wrong attempts my account got locked after i entered the wrong password three times. i've been waiting 30 minutes but it's still locked. how do i unlock it?
295,technical problem,Video tutorials in the help section don't play. The player shows an error icon. This is happening on both Chrome and Edge on Windows 11.,Technical Issue,technical problem video tutorials in the help section don't play. the player shows an error icon. this is happening on both chrome and edge on windows 11.
296,account access,I need to transfer my account to a new email address as I no longer have access to the old one. I can verify my identity with my phone number.,Account Management,account access i need to transfer my account to a new email address as i no longer have access to the old one. i can verify my identity with my phone number.
297,app not working,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,app not working i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
298,account issue,My account shows that I haven't made any purchases but I've made 5 orders in the last month. They're all missing from my order history.,Account Management,account issue my account shows that i haven't made any purchases but i've made 5 orders in the last month. they're all missing from my order history.
299,technical problem,Video tutorials in the help section don't play. The player shows an error icon. This is happening on both Chrome and Edge on Windows 11.,Technical Issue,technical problem video tutorials in the help section don't play. the player shows an error icon. this is happening on both chrome and edge on windows 11.
300,improvement idea,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,improvement idea a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
301,Sorting feature reversed,"When I sort products by 'Price: Low to High', the most expensive items appear first. The sort order seems to be reversed.",Bug Report,"sorting feature reversed when i sort products by 'price: low to high', the most expensive items appear first. the sort order seems to be reversed."
302,account issue,Someone tried to log into my account from a different country according to the security alert I received. Please help me secure my account.,Account Management,account issue someone tried to log into my account from a different country according to the security alert i received. please help me secure my account.
303,please add this,Please consider adding a wishlist feature that I can share with family for gifting occasions. Many customers would find this useful.,Feature Request,please add this please consider adding a wishlist feature that i can share with family for gifting occasions. many customers would find this useful.
304,subscription charge,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,subscription charge my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
305,product suggestion,It would be helpful to have a 'Reorder' button on past orders so I can quickly repurchase the same items without searching again.,Feature Request,product suggestion it would be helpful to have a 'reorder' button on past orders so i can quickly repurchase the same items without searching again.
306,account issue,Someone tried to log into my account from a different country according to the security alert I received. Please help me secure my account.,Account Management,account issue someone tried to log into my account from a different country according to the security alert i received. please help me secure my account.
307,feature broken,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,feature broken i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
308,App badge count not clearing,The notification badge on the app icon shows '3' unread but I've read all notifications. The badge count doesn't reset.,Bug Report,app badge count not clearing the notification badge on the app icon shows '3' unread but i've read all notifications. the badge count doesn't reset.
309,refund request,I was charged ₹599 but the plan I selected costs ₹399. Can you explain the difference and process a refund for the extra amount?,Billing Inquiry,refund request i was charged ₹599 but the plan i selected costs ₹399. can you explain the difference and process a refund for the extra amount?
310,feature broken,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,feature broken i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
311,Review submission giving error,I wrote a detailed product review and clicked submit. It showed a loading spinner for a while and then gave an error. My review was lost.,Bug Report,review submission giving error i wrote a detailed product review and clicked submit. it showed a loading spinner for a while and then gave an error. my review was lost.
312,subscription charge,I was charged ₹599 but the plan I selected costs ₹399. Can you explain the difference and process a refund for the extra amount?,Billing Inquiry,subscription charge i was charged ₹599 but the plan i selected costs ₹399. can you explain the difference and process a refund for the extra amount?
313,reporting a bug,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,reporting a bug product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
314,new feature idea,Could you add the ability to set a monthly spending limit on the account? It would help with budgeting especially for shared team accounts.,Feature Request,new feature idea could you add the ability to set a monthly spending limit on the account? it would help with budgeting especially for shared team accounts.
315,enhancement request,It would be helpful to have a 'Reorder' button on past orders so I can quickly repurchase the same items without searching again.,Feature Request,enhancement request it would be helpful to have a 'reorder' button on past orders so i can quickly repurchase the same items without searching again.
316,glitch in app,The 'Recently Viewed' section shows products I have never visited. It seems to be showing someone else's browsing history.,Bug Report,glitch in app the 'recently viewed' section shows products i have never visited. it seems to be showing someone else's browsing history.
317,account access,Someone tried to log into my account from a different country according to the security alert I received. Please help me secure my account.,Account Management,account access someone tried to log into my account from a different country according to the security alert i received. please help me secure my account.
318,invoice error,My refund request was approved 2 weeks ago (ref #REF-2291) but the amount hasn't appeared in my account yet. Please update me.,Billing Inquiry,invoice error my refund request was approved 2 weeks ago (ref #ref-2291) but the amount hasn't appeared in my account yet. please update me.
319,refund request,I need a GST-compliant invoice for my subscription payment made on 12th March. The invoice I received doesn't have the GST breakdown.,Billing Inquiry,refund request i need a gst-compliant invoice for my subscription payment made on 12th march. the invoice i received doesn't have the gst breakdown.
320,Page timing out,The checkout page times out every time I try to place an order. I've tried on three different browsers and also on mobile. Other pages work fine.,Technical Issue,page timing out the checkout page times out every time i try to place an order. i've tried on three different browsers and also on mobile. other pages work fine.
321,Show estimated delivery date,Please display an estimated delivery date on the product page before checkout. It would help customers decide whether to order.,Feature Request,show estimated delivery date please display an estimated delivery date on the product page before checkout. it would help customers decide whether to order.
322,product suggestion,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,product suggestion a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
323,App crashes on startup,"The mobile app crashes immediately after I open it. This started happening after the latest update (v3.2.1). I'm on Android 13, Samsung Galaxy S21.",Technical Issue,"app crashes on startup the mobile app crashes immediately after i open it. this started happening after the latest update (v3.2.1). i'm on android 13, samsung galaxy s21."
324,Cart items disappearing,Items I add to my cart disappear when I switch between pages. I have to add them again each time. This is very frustrating when shopping.,Bug Report,cart items disappearing items i add to my cart disappear when i switch between pages. i have to add them again each time. this is very frustrating when shopping.
325,billing issue,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,billing issue my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
326,something is broken,When printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.,Bug Report,something is broken when printing an invoice from the website the formatting is completely broken — text overlaps and some sections are cut off.
327,enhancement request,Could you add the ability to set a monthly spending limit on the account? It would help with budgeting especially for shared team accounts.,Feature Request,enhancement request could you add the ability to set a monthly spending limit on the account? it would help with budgeting especially for shared team accounts.
328,found a bug,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,found a bug product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
329,password issue,My display name is showing garbled characters after I tried to use my name in a regional language. Please help me fix this.,Account Management,password issue my display name is showing garbled characters after i tried to use my name in a regional language. please help me fix this.
330,technical problem,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,technical problem i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
331,technical problem,I can't export my data. When I click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.,Technical Issue,technical problem i can't export my data. when i click the export button a progress bar appears but it never completes — it's been stuck at 80% for 20 minutes.
332,technical problem,The app keeps logging me out every few minutes even though I have 'Keep me logged in' enabled. This started after last Thursday's update.,Technical Issue,technical problem the app keeps logging me out every few minutes even though i have 'keep me logged in' enabled. this started after last thursday's update.
333,invoice error,My promotional discount was supposed to apply for 3 months but it stopped after the first month. The original offer was for 3 months.,Billing Inquiry,invoice error my promotional discount was supposed to apply for 3 months but it stopped after the first month. the original offer was for 3 months.
334,login problem,My account shows that I haven't made any purchases but I've made 5 orders in the last month. They're all missing from my order history.,Account Management,login problem my account shows that i haven't made any purchases but i've made 5 orders in the last month. they're all missing from my order history.
335,account access,Someone tried to log into my account from a different country according to the security alert I received. Please help me secure my account.,Account Management,account access someone tried to log into my account from a different country according to the security alert i received. please help me secure my account.
336,Two accounts on same phone number,"I got an error saying my phone number is already registered, but I've never used this service before. Someone may have used my number fraudulently.",Account Management,"two accounts on same phone number i got an error saying my phone number is already registered, but i've never used this service before. someone may have used my number fraudulently."
337,new feature idea,Please consider adding a wishlist feature that I can share with family for gifting occasions. Many customers would find this useful.,Feature Request,new feature idea please consider adding a wishlist feature that i can share with family for gifting occasions. many customers would find this useful.
338,password issue,I'd like to add a family member to my account so they can also place orders. Is there a family plan or a way to add sub-users?,Account Management,password issue i'd like to add a family member to my account so they can also place orders. is there a family plan or a way to add sub-users?
339,Date picker broken in Safari,The date picker on the booking form doesn't work in Safari on Mac. Clicking any date does nothing. Works fine in Chrome and Firefox.,Bug Report,date picker broken in safari the date picker on the booking form doesn't work in safari on mac. clicking any date does nothing. works fine in chrome and firefox.
340,something is broken,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,something is broken product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
341,please add this,A mobile barcode scanner to look up products would be a game-changer for in-store price comparison. Please consider adding this.,Feature Request,please add this a mobile barcode scanner to look up products would be a game-changer for in-store price comparison. please consider adding this.
342,invoice error,I was charged ₹599 but the plan I selected costs ₹399. Can you explain the difference and process a refund for the extra amount?,Billing Inquiry,invoice error i was charged ₹599 but the plan i selected costs ₹399. can you explain the difference and process a refund for the extra amount?
343,reporting a bug,Product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.,Bug Report,reporting a bug product ratings are showing as 0 stars for all items on the category page even though individual product pages show the correct ratings.
344,unexpected behavior,The 'Recently Viewed' section shows products I have never visited. It seems to be showing someone else's browsing history.,Bug Report,unexpected behavior the 'recently viewed' section shows products i have never visited. it seems to be showing someone else's browsing history.
345,technical problem,Video tutorials in the help section don't play. The player shows an error icon. This is happening on both Chrome and Edge on Windows 11.,Technical Issue,technical problem video tutorials in the help section don't play. the player shows an error icon. this is happening on both chrome and edge on windows 11.
